Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,International,Unknown,Illinois,Non-Illinois,Academic Program Code
120048 ,KL ,  ,  ,  ,"Agr, Cons, Env Sci ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120048 ,KL ,470 ,BS ,0009 ,"Agribusiness, Farm & Financial ",0010 ,Agri-Accounting ,76,39,37,0,58,6,7,1,0,4,0,73,3,10KL0010BS
120048 ,KL ,470 ,BS ,0009 ,"Agribusiness, Farm & Financial ",0011 ,Agri-Finance ,67,51,16,0,55,2,6,4,0,0,0,66,1,10KL0011BS
120048 ,KL ,470 ,BS ,0009 ,"Agribusiness, Farm & Financial ",0012 ,Farm Management ,45,42,2,1,44,0,0,0,0,0,1,44,1,10KL0012BS
120048 ,KL ,470 ,BS ,0009 ,"Agribusiness, Farm & Financial ",0013 ,Agribusiness Markets & Mgmt ,98,65,32,1,92,1,4,0,0,1,0,96,2,10KL0013BS
120048 ,KL ,470 ,BS ,0014 ,Consumer and Textile Marketing ,  ,  ,98,3,95,0,76,9,8,3,0,0,2,94,4,10KL0014BS
120048 ,KL ,470 ,BS ,0014 ,Consumer and Textile Marketing ,0015 ,Consumer & Textile Marketing ,1,0,1,0,1,0,0,0,0,0,0,0,1,10KL0015BS
120048 ,KL ,470 ,BS ,0017 ,"Intl, Resource, Consumer Econ ",0018 ,Consumer Economics & Finance ,101,68,33,0,78,10,6,6,0,0,1,100,1,10KL0018BS
120048 ,KL ,470 ,BS ,0017 ,"Intl, Resource, Consumer Econ ",0019 ,Env & Natural Resource Mgmt ,8,6,2,0,8,0,0,0,0,0,0,8,0,10KL0019BS
120048 ,KL ,470 ,BS ,0017 ,"Intl, Resource, Consumer Econ ",0020 ,Individually Planned Curricula ,3,2,1,0,1,2,0,0,0,0,0,2,1,10KL0020BS
120048 ,KL ,470 ,BS ,0017 ,"Intl, Resource, Consumer Econ ",0021 ,"Policy, Intl Trade, & Dvlpmt ",64,38,26,0,47,9,1,3,0,0,4,62,2,10KL0021BS
120048 ,KL ,470 ,MS ,0176 ,Agr & Consumer Economics ,  ,  ,30,18,12,0,16,2,0,0,0,12,0,14,16,10KS0176MS
120048 ,KL ,470 ,PHD ,0001 ,Agricultural Economics ,  ,  ,1,1,0,0,0,0,0,0,0,1,0,0,1,10KS0001PHD
120048 ,KL ,470 ,PHD ,0176 ,Agr & Consumer Economics ,  ,  ,55,32,23,0,10,0,0,0,0,43,2,2,53,10KS0176PHD
120048 ,KL ,483 ,NDEG ,0067 ,Nondegree ,  ,  ,19,6,13,0,1,0,0,0,0,18,0,1,18,10KL0067NDEG
120048 ,KL ,483 ,NDEG ,0067 ,Nondegree ,  ,  ,1,0,1,0,1,0,0,0,0,0,0,1,0,10KL0067NDEQ
120048 ,KL ,538 ,BS ,0002 ,Animal Sciences ,0004 ,Science ,1,0,1,0,1,0,0,0,0,0,0,1,0,10KL0004BS
120048 ,KL ,538 ,BS ,0002 ,Animal Sciences ,0005 ,Animal Business Mgt and Ind ,23,12,11,0,22,1,0,0,0,0,0,23,0,10KL0005BS
120048 ,KL ,538 ,BS ,0002 ,Animal Sciences ,0006 ,"Companion,Rec,Lab An Sci ",104,16,88,0,93,4,0,5,0,0,2,103,1,10KL0006BS
120048 ,KL ,538 ,BS ,0002 ,Animal Sciences ,0007 ,Food Animal Science ,22,9,13,0,22,0,0,0,0,0,0,22,0,10KL0007BS
120048 ,KL ,538 ,BS ,0002 ,Animal Sciences ,0008 ,"Science, Biotech & Pre-VetMed ",351,83,268,0,312,13,8,10,0,2,6,339,12,10KL0008BS
120048 ,KL ,538 ,MS ,0002 ,Animal Sciences ,  ,  ,52,18,34,0,46,2,0,2,0,2,0,39,13,10KS0002MS
120048 ,KL ,538 ,NONE ,0002 ,Animal Sciences ,  ,  ,1,0,1,0,1,0,0,0,0,0,0,1,0,10KL0002NONE
120048 ,KL ,538 ,PHD ,0002 ,Animal Sciences ,  ,  ,40,23,17,0,22,2,1,0,0,15,0,16,24,10KS0002PHD
120048 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0038 ,Food Science ,48,14,34,0,35,7,1,1,0,3,1,45,3,10KL0038BS
120048 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0039 ,Food Industry and Business ,40,14,26,0,31,2,6,0,0,0,1,40,0,10KL0039BS
120048 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0040 ,Human Nutrition ,75,16,59,0,62,11,2,0,0,0,0,74,1,10KL0040BS
120048 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0041 ,Dietetics ,99,3,96,0,86,7,1,4,0,0,1,93,6,10KL0041BS
120048 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0042 ,Hospitality Management ,95,34,61,0,75,9,2,3,0,4,2,88,7,10KL0042BS
120048 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,  ,  ,28,6,22,0,12,5,1,1,0,9,0,15,13,10KS0037MS
120048 ,KL ,698 ,PHD ,0037 ,Food Science & Human Nutrition ,  ,  ,28,8,20,0,10,0,0,1,0,17,0,9,19,10KS0037PHD
120048 ,KL ,741 ,BS ,0025 ,Technical Systems Management ,0026 ,Production Systems ,8,8,0,0,8,0,0,0,0,0,0,8,0,10KL0026BS
120048 ,KL ,741 ,BS ,0025 ,Technical Systems Management ,0028 ,"Mech, Mrktg & Tech Mgt Sys ",61,54,7,0,53,1,2,4,0,0,1,61,0,10KL0028BS
120048 ,KL ,741 ,BSAG ,0029 ,Agr Engineering & Agr Science ,  ,  ,45,39,6,0,38,3,1,1,0,1,1,43,2,10KL0029BSAG
120048 ,KL ,741 ,NONE ,0025 ,Technical Systems Management ,  ,  ,29,25,4,0,24,1,1,1,0,2,0,27,2,10KL0025NONE
120048 ,KL ,793 ,BS ,0043 ,Agr & Environmental Cmc & Educ ,0044 ,Agricultural Communications ,60,16,44,0,52,1,4,2,0,0,1,58,2,10KL0044BS
120048 ,KL ,793 ,BS ,0043 ,Agr & Environmental Cmc & Educ ,0045 ,Environ Educ & Communications ,8,3,5,0,8,0,0,0,0,0,0,8,0,10KL0045BS
120048 ,KL ,793 ,BS ,0043 ,Agr & Environmental Cmc & Educ ,0046 ,Agricultural Leadership ,8,3,5,0,7,0,1,0,0,0,0,8,0,10KL0046BS
120048 ,KL ,793 ,BS ,0043 ,Agr & Environmental Cmc & Educ ,0047 ,Agricultural Education ,36,15,21,0,34,0,1,0,0,0,1,36,0,10KL0047BS
120048 ,KL ,793 ,BS ,0048 ,Human Development & Family St ,0049 ,Child and Adolescent Dev ,133,6,127,0,103,9,9,8,1,0,3,130,3,10KL0049BS
120048 ,KL ,793 ,BS ,0048 ,Human Development & Family St ,0050 ,Family Studies ,60,4,56,0,50,2,3,5,0,0,0,60,0,10KL0050BS
120048 ,KL ,793 ,MS ,0181 ,Agricultural Education ,  ,  ,10,0,10,0,10,0,0,0,0,0,0,10,0,10KS0181MS
120048 ,KL ,793 ,MS ,0183 ,Human & Community Development ,  ,  ,5,0,5,0,4,0,0,0,0,1,0,2,3,10KS0183MS
120048 ,KL ,793 ,PHD ,0183 ,Human & Community Development ,  ,  ,21,4,17,0,7,3,3,1,0,7,0,4,17,10KS0183PHD
120048 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0031 ,Agroecology ,2,2,0,0,2,0,0,0,0,0,0,2,0,10KL0031BS
120048 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0033 ,Crops ,17,14,3,0,17,0,0,0,0,0,0,17,0,10KL0033BS
120048 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0034 ,Crop Agribusiness ,27,27,0,0,26,1,0,0,0,0,0,27,0,10KL0034BS
120048 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0035 ,Plant Biotech & Molecular Bio ,34,17,16,1,30,0,2,1,0,0,1,30,4,10KL0035BS
120048 ,KL ,802 ,BS ,0030 ,Crop Sciences ,0036 ,Biological Sciences ,4,2,2,0,2,0,1,1,0,0,0,3,1,10KL0036BS
120048 ,KL ,802 ,MS ,0030 ,Crop Sciences ,  ,  ,36,22,14,0,23,2,0,0,0,11,0,18,18,10KS0030MS
120048 ,KL ,802 ,MS ,0030 ,Crop Sciences ,  ,  ,2,2,0,0,1,0,0,0,0,0,1,2,0,10KS0030MSX
120048 ,KL ,802 ,PHD ,0030 ,Crop Sciences ,  ,  ,32,19,13,0,15,0,0,0,0,16,1,8,24,10KS0030PHD
120048 ,KL ,875 ,BS ,0023 ,Forestry ,0060 ,Forest Science ,4,3,1,0,4,0,0,0,0,0,0,4,0,10KL0060BS
120048 ,KL ,875 ,BS ,0023 ,Forestry ,0062 ,Urban Forestry ,1,1,0,0,1,0,0,0,0,0,0,1,0,10KL0062BS
120048 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,0052 ,Biological Sciences ,28,16,12,0,25,1,0,1,0,0,1,27,1,10KL0052BS
120048 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,0053 ,Social Science ,17,5,12,0,14,1,1,0,0,0,1,15,2,10KL0053BS
120048 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,0056 ,Environmental Soil & Water Sci ,6,2,4,0,6,0,0,0,0,0,0,5,1,10KL0056BS
120048 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,0057 ,Fish and Wildlife Conservation ,63,42,21,0,58,2,0,1,0,0,2,62,1,10KL0057BS
120048 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,3870 ,Forest Science ,14,13,1,0,13,0,0,1,0,0,0,14,0,10KL3870BS
120048 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,3871 ,Human Dimensions ,29,12,17,0,25,2,0,1,0,0,1,28,1,10KL3871BS
120048 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,3872 ,Resource Ecology ,34,19,15,0,28,4,0,0,0,0,2,33,1,10KL3872BS
120048 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,3873 ,Soil and Water Science ,9,4,5,0,9,0,0,0,0,0,0,9,0,10KL3873BS
120048 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,3986 ,Social Sciences ,1,0,1,0,0,0,1,0,0,0,0,1,0,10KL3986BS
120048 ,KL ,875 ,BS ,0063 ,Horticulture ,0064 ,Horticulture Science ,6,5,1,0,5,1,0,0,0,0,0,6,0,10KL0064BS
120048 ,KL ,875 ,BS ,0063 ,Horticulture ,0065 ,Production and Management ,63,41,22,0,59,0,0,3,0,0,1,62,1,10KL0065BS
