Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois
120088 ,KL ,  ,  ,  ,"Agr, Cons, Env Sci ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , ,,,,,
120088 ,KL ,470 ,BS ,0009 ,"Agribusiness, Farm & Financial ",0010 ,Agri-Accounting ,10,6,4,0,9,1,0,0,0,0,0,10,0,10KL0010BS,,,,,
120088 ,KL ,470 ,BS ,0009 ,"Agribusiness, Farm & Financial ",0011 ,Agri-Finance ,4,4,0,0,4,0,0,0,0,0,0,3,1,10KL0011BS,,,,,
120088 ,KL ,470 ,BS ,0009 ,"Agribusiness, Farm & Financial ",0012 ,Farm Management ,4,4,0,0,3,0,0,0,0,0,1,4,0,10KL0012BS,,,,,
120088 ,KL ,470 ,BS ,0009 ,"Agribusiness, Farm & Financial ",0013 ,Agribusiness Markets & Mgmt ,13,12,1,0,12,0,1,0,0,0,0,13,0,10KL0013BS,,,,,
120088 ,KL ,470 ,BS ,0017 ,"Intl, Resource, Consumer Econ ",0018 ,Consumer Economics & Finance ,8,6,2,0,6,0,0,2,0,0,0,8,0,10KL0018BS,,,,,
120088 ,KL ,470 ,BS ,0017 ,"Intl, Resource, Consumer Econ ",0019 ,Env & Natural Resource Mgmt ,4,1,3,0,3,0,1,0,0,0,0,3,1,10KL0019BS,,,,,
120088 ,KL ,470 ,BS ,0017 ,"Intl, Resource, Consumer Econ ",0021 ,"Policy, Intl Trade, & Dvlpmt ",8,6,2,0,3,5,0,0,0,0,0,8,0,10KL0021BS,,,,,
120088 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5003 ,Agri-Accounting ,58,36,22,0,40,8,3,4,0,2,1,56,2,10KL5003BS,,,,,
120088 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5004 ,Agri-Finance ,103,66,37,0,74,14,5,3,0,6,1,95,8,10KL5004BS,,,,,
120088 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5005 ,Farm Management ,27,25,2,0,26,0,0,0,0,1,0,26,1,10KL5005BS,,,,,
120088 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5006 ,Agribusiness Markets & Mgmt ,167,108,59,0,142,6,5,7,0,5,2,159,8,10KL5006BS,,,,,
120088 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5007 ,Consumer Economics & Finance ,125,92,32,1,96,5,3,9,0,5,7,115,10,10KL5007BS,,,,,
120088 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5008 ,Envirnmntal Economics & Policy ,26,16,10,0,22,0,0,1,0,3,0,23,3,10KL5008BS,,,,,
