Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,Illinois,Non-Illinois,Academic Program Code
120118 ,KL ,  ,  ,  ,"Agr, Cons, Env Sci ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120118 ,KL ,306 ,MS ,5186 ,Bioenergy ,5166 ,Professional Science Masters ,12,10,2,0,10,1,0,0,0,0,0,1,0,0,0,9,3,1PKS5186MS
120118 ,KL ,306 ,MS ,5188 ,Agricultural Production ,5166 ,Professional Science Masters ,8,4,4,0,5,0,0,1,0,0,0,1,1,0,0,6,2,1PKS5188MS
120118 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5003 ,Agri-Accounting ,92,47,45,0,50,15,6,2,0,0,0,17,2,6,0,74,18,10KL5003BS
120118 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5004 ,Agri-Finance ,76,63,13,0,56,6,0,4,0,0,2,8,0,1,0,66,10,10KL5004BS
120118 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5005 ,Farm Management ,20,19,1,0,20,0,0,0,0,0,0,0,0,0,0,20,0,10KL5005BS
120118 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5006 ,Agribusiness Markets & Mgmt ,129,96,33,0,109,4,5,2,0,0,2,6,1,5,0,119,10,10KL5006BS
120118 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5007 ,Consumer Economics & Finance ,73,56,17,0,53,8,2,2,0,0,0,7,1,2,1,62,11,10KL5007BS
120118 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5008 ,Envirnmntal Economics & Policy ,30,21,9,0,18,3,0,2,0,0,1,6,0,0,1,23,7,10KL5008BS
120118 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5010 ,"Policy, Intl Trade, & Dvlpmt ",42,22,20,0,22,6,2,6,0,0,0,6,0,2,0,33,9,10KL5010BS
120118 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5011 ,Public Policy and Law ,39,19,20,0,25,4,4,5,0,0,0,1,0,5,0,38,1,10KL5011BS
120118 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5136 ,Financial Planning ,67,39,28,0,45,4,2,1,0,0,2,13,0,3,0,53,14,10KL5136BS
120118 ,KL ,470 ,MS ,0176 ,Agr & Consumer Economics ,  ,  ,14,8,6,0,6,0,0,0,0,0,0,8,0,0,0,5,9,10KS0176MS
120118 ,KL ,470 ,MS ,5273 ,Agricultural & Applied Econ ,  ,  ,15,5,10,0,7,0,0,1,0,0,0,7,0,0,0,5,10,10KS5273MS
120118 ,KL ,470 ,PHD ,0176 ,Agr & Consumer Economics ,  ,  ,19,12,7,0,4,0,1,1,0,0,0,13,0,1,0,1,18,10KS0176PHD
120118 ,KL ,470 ,PHD ,5273 ,Agricultural & Applied Econ ,  ,  ,22,12,10,0,3,2,0,1,0,0,0,16,0,0,0,1,21,10KS5273PHD
120118 ,KL ,483 ,NDEG ,0067 ,Nondegree ,  ,  ,87,51,36,0,57,1,1,2,0,0,1,24,1,1,1,61,26,10KL0067NDEG
120118 ,KL ,538 ,BS ,0002 ,Animal Sciences ,0005 ,Animal Business Mgt and Ind ,3,1,2,0,3,0,0,0,0,0,0,0,0,0,0,3,0,10KL0005BS
120118 ,KL ,538 ,BS ,0002 ,Animal Sciences ,0006 ,"Companion,Rec,Lab An Sci ",36,6,30,0,29,1,2,4,0,0,0,0,0,2,0,35,1,10KL0006BS
120118 ,KL ,538 ,BS ,0002 ,Animal Sciences ,0007 ,Food Animal Science ,8,3,5,0,8,0,0,0,0,0,0,0,0,0,0,8,0,10KL0007BS
120118 ,KL ,538 ,BS ,0002 ,Animal Sciences ,0008 ,"Science, Biotech & Pre-VetMed ",101,12,89,0,80,8,2,9,1,0,1,0,0,3,3,99,2,10KL0008BS
120118 ,KL ,538 ,BS ,0002 ,Animal Sciences ,5267 ,Technology and Management ,10,4,6,0,10,0,0,0,0,0,0,0,0,0,0,10,0,10KL0002BS
120118 ,KL ,538 ,BS ,0002 ,Animal Sciences ,5268 ,Companion Animal & Equine Sci ,75,10,65,0,59,2,6,4,0,1,1,2,0,6,1,72,3,10KL0002BS
120118 ,KL ,538 ,BS ,0002 ,Animal Sciences ,5269 ,"Science, Pre-Vet Med and Med ",232,43,188,1,175,13,13,22,0,0,5,3,1,14,3,220,12,10KL0002BS
120118 ,KL ,538 ,MS ,0002 ,Animal Sciences ,  ,  ,50,23,27,0,36,1,0,1,0,0,1,11,0,0,0,32,18,10KS0002MS
120118 ,KL ,538 ,MS ,4026 ,Bioinformatics ,5099 ,Animal Science ,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,10KS5099MS
120118 ,KL ,538 ,PHD ,0002 ,Animal Sciences ,  ,  ,45,28,17,0,19,0,1,1,0,0,0,24,0,1,0,13,32,10KS0002PHD
120118 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0038 ,Food Science ,107,29,78,0,53,20,4,4,0,0,1,25,0,4,2,80,27,10KL0038BS
120118 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0039 ,Food Industry and Business ,31,13,18,0,19,2,1,4,0,0,0,5,0,1,0,24,7,10KL0039BS
120118 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0040 ,Human Nutrition ,119,20,99,0,71,19,8,10,0,0,1,10,0,8,0,104,15,10KL0040BS
120118 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0041 ,Dietetics ,87,2,85,0,65,8,1,3,0,0,1,7,2,1,1,75,12,10KL0041BS
120118 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0042 ,Hospitality Management ,70,21,49,0,43,5,2,7,0,0,3,10,0,3,1,59,11,10KL0042BS
120118 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,  ,  ,3,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,3,10KS0037MS
120118 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,  ,  ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1PKS0037MS
120118 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,0038 ,Food Science ,23,9,14,0,12,2,1,0,0,0,0,8,0,1,0,9,14,10KS0037MS
120118 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,0040 ,Human Nutrition ,6,0,6,0,3,0,1,0,0,0,0,2,0,1,0,3,3,10KS0037MS
120118 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,5166 ,Professional Science Masters ,10,2,8,0,2,2,0,0,0,0,1,5,0,0,0,4,6,1PKS0037MS
120118 ,KL ,698 ,PHD ,0037 ,Food Science & Human Nutrition ,  ,  ,20,6,14,0,6,0,0,0,0,0,0,14,0,0,0,3,17,10KS0037PHD
120118 ,KL ,698 ,PHD ,0037 ,Food Science & Human Nutrition ,0038 ,Food Science ,11,3,8,0,3,1,0,0,0,0,0,7,0,0,0,3,8,10KS0037PHD
120118 ,KL ,698 ,PHD ,0037 ,Food Science & Human Nutrition ,0040 ,Human Nutrition ,5,1,4,0,0,2,0,0,0,0,0,3,0,0,0,1,4,10KS0037PHD
120118 ,KL ,741 ,BS ,0025 ,Technical Systems Management ,  ,  ,189,175,14,0,126,15,12,20,0,0,2,13,1,12,0,171,18,10KL0025BS
120118 ,KL ,741 ,BSAG ,0029 ,Agr Engineering & Agr Science ,  ,  ,21,18,3,0,17,1,1,1,0,0,1,0,0,2,0,20,1,10KL0029BSAG
120118 ,KL ,741 ,BSAG ,5163 ,Agricultural & Biological Engr ,  ,  ,38,28,10,0,22,6,4,2,0,0,1,3,0,4,0,32,6,10KL5163BSAG
120118 ,KL ,741 ,MS ,0025 ,Technical Systems Management ,  ,  ,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,10KS0025MS
