Code,Name,Student level,Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,Illinois,Non-Illinois,Part time,Full time
KL ,"Agr, Cons, Env Sci ",Graduate ,542,270,272,0,276,31,8,23,1,0,5,195,3,11,3,194,348,31,511
KL ,"Agr, Cons, Env Sci ",Undergraduate ,2770,1254,1516,0,1854,245,137,218,1,4,74,224,13,169,32,2396,374,120,2650
KM ,Business ,Graduate ,1164,636,526,2,359,124,53,32,0,0,6,582,8,54,7,492,672,8,1156
KM ,Business ,Undergraduate ,2973,1623,1350,0,1542,475,101,202,0,5,51,580,17,117,13,2164,809,25,2948
KN ,Education ,Graduate ,637,196,441,0,287,40,125,52,3,0,14,112,4,146,10,393,244,150,487
KN ,Education ,Undergraduate ,576,56,520,0,449,39,18,46,0,2,11,10,1,21,4,558,18,3,573
KP ,Engineering ,Graduate ,2927,2271,656,0,771,208,16,72,3,0,33,1807,17,24,13,448,2479,84,2843
KP ,Engineering ,Undergraduate ,7112,6003,1107,2,3199,1410,110,359,6,11,183,1798,36,135,35,4130,2982,242,6870
KR ,Fine & Applied Arts ,Graduate ,797,388,409,0,402,35,16,41,2,0,12,278,11,26,12,261,536,72,725
KR ,Fine & Applied Arts ,Undergraduate ,1574,704,870,0,907,158,79,123,2,3,39,251,12,96,13,1201,373,50,1524
KS ,Graduate College ,Graduate ,62,42,20,0,39,9,1,4,0,1,1,6,1,1,0,43,19,38,24
KT ,Media ,Graduate ,97,30,67,0,17,5,6,6,0,0,3,58,2,9,5,21,76,6,91
KT ,Media ,Undergraduate ,1059,333,725,1,685,90,75,81,0,1,31,87,9,86,7,896,163,20,1039
KU ,Law ,Graduate ,133,39,94,0,1,1,0,1,0,0,0,130,0,0,0,0,133,0,133
KU ,Law ,Professional ,537,299,238,0,309,52,45,61,0,1,12,38,19,53,9,318,219,2,535
KV ,Liberal Arts & Sci ,Graduate ,2578,1310,1268,0,1145,158,34,110,7,3,44,1050,27,50,24,418,2160,53,2525
KV ,Liberal Arts & Sci ,Undergraduate ,11287,5884,5399,4,5671,1773,793,1011,7,17,265,1680,70,910,89,8962,2325,285,11002
KW ,General Studies ,Undergraduate ,2786,1625,1161,0,1357,420,204,374,2,2,83,330,14,248,32,2307,479,7,2779
KY ,Applied Health Sci ,Graduate ,274,87,187,0,166,8,31,14,0,0,5,47,3,35,2,163,111,9,265
KY ,Applied Health Sci ,Undergraduate ,1982,659,1323,0,1229,213,225,212,0,2,64,29,8,262,12,1858,124,17,1965
LC ,Veterinary Medicine ,Graduate ,67,27,40,0,44,5,0,3,0,0,0,14,1,0,0,24,43,8,59
LC ,Veterinary Medicine ,Professional ,487,85,401,1,348,15,5,12,1,0,3,1,102,5,2,383,104,0,487
LE ,Institute of Aviation ,Undergraduate ,29,23,6,0,24,2,2,1,0,0,0,0,0,2,0,28,1,4,25
LG ,Labor & Empl. Rel. ,Graduate ,195,65,129,1,88,19,12,6,0,1,5,61,3,13,1,111,84,5,190
LL ,School of Social Work ,Graduate ,257,31,226,0,178,10,29,21,0,0,5,13,1,33,1,221,36,12,245
LL ,School of Social Work ,Undergraduate ,146,17,129,0,93,8,20,16,0,1,5,1,2,24,2,144,2,5,141
LN ,Center Innov in Teach Learn ,Graduate ,57,18,39,0,35,10,8,0,0,0,0,0,4,8,0,3,54,52,5
LP ,Library & Info Sci ,Graduate ,293,78,215,0,213,10,19,18,0,1,3,25,4,21,2,176,117,24,269
