Code,Name,Student level,Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois,Part time,Full time
KL ,"Agr, Cons, Env Sci ",Graduate ,582,282,300,0,286,28,9,29,1,0,11,207,11,13,4,0,40,207,375,31,551
KL ,"Agr, Cons, Env Sci ",Undergraduate ,2734,1239,1495,0,1777,250,138,237,3,2,75,241,11,173,32,11,303,2322,412,126,2608
KM ,Business ,Graduate ,1141,620,521,0,339,122,41,34,1,0,10,575,19,43,10,2,127,481,660,12,1129
KM ,Business ,Undergraduate ,3050,1664,1386,0,1516,492,110,214,1,4,59,636,18,128,13,13,539,2169,881,27,3023
KN ,Education ,Graduate ,563,171,392,0,246,37,111,52,2,1,12,97,5,129,9,1,39,345,218,98,465
KN ,Education ,Undergraduate ,569,46,523,0,444,48,13,48,0,1,8,6,1,17,2,2,53,556,13,10,559
KP ,Engineering ,Graduate ,3097,2411,686,0,745,205,26,75,2,1,29,1978,36,34,12,3,241,439,2658,80,3017
KP ,Engineering ,Undergraduate ,7324,6049,1274,1,3214,1513,105,369,6,9,195,1840,73,135,35,28,1706,4184,3140,260,7064
KR ,Fine & Applied Arts ,Graduate ,791,376,415,0,393,31,18,42,2,0,3,286,16,24,9,0,38,240,551,77,714
KR ,Fine & Applied Arts ,Undergraduate ,1499,662,837,0,799,161,78,133,1,3,42,272,10,96,14,7,197,1104,395,30,1469
KS ,Graduate College ,Graduate ,69,47,22,0,39,2,2,0,0,0,3,18,5,4,0,0,7,41,28,36,33
KT ,Media ,Graduate ,75,20,55,0,13,5,4,3,0,0,2,47,1,5,2,0,7,11,64,5,70
KT ,Media ,Undergraduate ,1080,349,731,0,691,88,73,90,0,1,33,95,9,84,8,5,116,909,171,21,1059
KU ,Law ,Graduate ,80,27,53,0,0,1,0,1,0,0,0,76,2,0,0,0,1,1,79,2,78
KU ,Law ,Professional ,502,290,212,0,267,55,38,47,0,1,12,51,31,46,5,3,63,284,218,1,501
KV ,Liberal Arts & Sci ,Graduate ,2521,1269,1252,0,1081,157,39,124,6,4,53,1014,43,59,26,8,206,411,2110,64,2457
KV ,Liberal Arts & Sci ,Undergraduate ,11514,6059,5453,2,5397,1931,808,1103,6,11,306,1852,100,939,84,46,2202,8831,2683,325,11189
KW ,General Studies ,Undergraduate ,2649,1540,1109,0,1230,415,156,381,1,1,82,361,22,196,34,13,479,2157,492,9,2640
KY ,Applied Health Sci ,Graduate ,274,79,195,0,169,12,24,15,1,0,4,47,2,26,3,0,15,162,112,5,269
KY ,Applied Health Sci ,Undergraduate ,1980,653,1327,0,1188,239,242,214,0,3,55,28,11,284,19,12,271,1855,125,24,1956
LC ,Veterinary Medicine ,Graduate ,68,26,42,0,41,2,0,2,0,0,0,22,1,0,0,0,2,26,42,10,58
LC ,Veterinary Medicine ,Professional ,485,78,406,1,331,8,4,6,1,0,1,4,130,4,1,0,9,369,116,0,485
LE ,Institute of Aviation ,Undergraduate ,3,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2
LG ,Labor & Empl. Rel. ,Graduate ,208,63,145,0,73,25,20,10,2,1,3,73,1,22,2,1,28,108,100,2,206
LL ,School of Social Work ,Graduate ,238,30,208,0,154,14,27,21,0,0,5,14,3,32,0,0,16,200,38,10,228
LL ,School of Social Work ,Undergraduate ,176,23,153,0,110,11,20,28,0,1,5,1,0,29,2,1,13,168,8,4,172
LN ,Center Innov in Teach Learn ,Graduate ,47,12,35,0,30,4,3,5,0,0,1,2,2,3,1,0,4,2,45,43,4
LP ,Library & Info Sci ,Graduate ,283,75,208,0,199,9,17,18,0,1,5,28,6,22,3,2,13,167,116,12,271
NB ,Provost & VC Acad Affairs ,Undergraduate ,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
