Code,Name,Student level,,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois,Part time,Full time
KL ,"Agr, Cons, Env Sci ",Graduate ,743,275,466,2,366,29,16,50,0,0,15,239,28,24,5,0,46,249,494,199,544
KL ,"Agr, Cons, Env Sci ",Undergraduate ,2778,1237,1536,5,1591,246,175,514,2,1,71,158,20,226,30,12,310,2480,298,126,2652
KM ,Business ,Graduate ,5244,3340,1893,11,2247,871,249,363,4,9,86,424,991,357,58,25,1518,1526,3718,1049,4195
KM ,Business ,Undergraduate ,2989,1695,1293,1,1420,627,102,314,1,2,86,394,43,130,21,17,715,2337,652,41,2948
KN ,Education ,Graduate ,1343,391,944,8,747,89,205,125,1,2,28,86,60,240,21,2,121,674,669,303,1040
KN ,Education ,Undergraduate ,655,74,580,1,402,59,44,111,0,1,22,13,3,56,12,3,76,621,34,8,647
KP ,Grainger Engineering ,Graduate ,4701,3663,1031,7,1039,542,57,159,0,0,82,2241,581,86,34,4,1086,566,4135,1072,3629
KP ,Grainger Engineering ,Undergraduate ,7206,5489,1716,1,2532,2251,114,573,0,5,273,1316,142,176,38,34,2519,4171,3035,510,6696
KR ,Fine & Applied Arts ,Graduate ,667,310,357,0,314,33,30,55,0,0,19,214,2,48,15,0,41,200,467,60,607
KR ,Fine & Applied Arts ,Undergraduate ,1766,797,968,1,813,240,138,286,2,0,86,186,15,186,34,10,313,1414,352,74,1692
KS ,Graduate College ,Graduate ,22,14,8,0,3,0,0,0,0,0,0,2,17,0,0,0,2,2,20,13,9
KT ,Media ,Graduate ,185,54,130,1,66,13,30,16,0,0,6,43,11,33,2,1,22,69,116,56,129
KT ,Media ,Undergraduate ,943,357,584,2,548,99,76,127,0,0,29,59,5,91,7,4,120,834,109,18,925
KU ,Law ,Graduate ,61,27,33,1,2,0,3,0,0,0,0,56,0,3,0,0,0,3,58,0,61
KU ,Law ,Professional ,408,213,195,0,235,43,20,41,0,0,13,31,25,27,3,1,55,220,188,1,407
KV ,Liberal Arts & Sci ,Graduate ,2562,1304,1258,0,920,137,63,204,1,1,58,1158,20,97,30,4,186,319,2243,99,2463
KV ,Liberal Arts & Sci ,Undergraduate ,11963,5927,6025,11,4675,2387,818,1692,2,2,435,1855,97,1053,145,59,2755,9098,2865,408,11555
KW ,General Studies ,Undergraduate ,2673,1566,1107,0,879,348,347,598,0,0,85,398,18,417,39,16,409,2200,473,24,2649
KY ,Applied Health Sci ,Graduate ,358,129,229,0,180,20,44,36,0,0,8,69,1,45,4,1,27,191,167,14,344
KY ,Applied Health Sci ,Undergraduate ,2023,692,1331,0,975,312,266,321,1,2,76,53,17,325,24,20,368,1853,170,47,1976
LC ,Veterinary Medicine ,Graduate ,88,35,53,0,42,4,2,5,0,0,1,32,2,3,1,0,5,25,63,12,76
LC ,Veterinary Medicine ,Professional ,519,72,447,0,427,20,5,47,1,0,13,4,2,8,4,1,31,301,218,8,511
LG ,Labor & Empl. Rel. ,Graduate ,266,68,198,0,108,23,27,37,0,0,6,60,5,34,4,0,33,154,112,5,261
LL ,School of Social Work ,Graduate ,439,58,380,1,266,20,57,67,0,0,12,13,4,72,8,0,23,397,42,23,416
LL ,School of Social Work ,Undergraduate ,264,36,228,0,134,10,44,60,1,0,8,6,1,51,4,2,15,257,7,13,251
LN ,Center Innov in Teach Learn ,Graduate ,241,91,149,1,134,19,6,12,0,0,3,6,61,9,4,0,24,3,238,214,27
LN ,Center Innov in Teach Learn ,Undergraduate ,103,48,55,0,19,11,2,5,0,0,6,1,59,3,1,0,19,0,103,103,0
LP ,School of Information Sciences ,Graduate ,882,274,604,4,474,39,49,70,1,0,15,227,7,57,12,1,49,410,472,161,721
LP ,School of Information Sciences ,Undergraduate ,122,77,45,0,27,47,8,17,0,0,2,19,2,10,2,0,51,91,31,6,116
LT ,Carle Illinois Medicine ,Professional ,110,62,48,0,40,40,6,6,1,0,10,0,7,9,5,2,47,18,92,1,109
NB ,Provost & VC Acad Affairs ,Undergraduate ,7,6,1,0,2,0,0,0,0,0,0,0,5,0,0,0,0,7,0,7,0
