Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois,
120218 ,KL ,  ,  ,  ,"Agr, Cons, Env Sci ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120218 ,KL ,306 ,BS ,5895 ,Metropolitan Food & Enviro Sys ,  ,  ,8,5,3,0,5,1,1,1,0,0,0,0,0,1,0,0,1,7,1,10KL5895BS
120218 ,KL ,306 ,MS ,5188 ,Agricultural Production ,5166 ,Professional Science Masters ,8,1,7,0,5,0,0,1,0,0,0,2,0,0,0,0,0,6,2,1PKS5188MS
120218 ,KL ,342 ,BS ,5284 ,Agricultural Communications ,5287 ,Advertising ,4,1,3,0,3,0,1,0,0,0,0,0,0,1,0,0,0,4,0,10KL5284BS
120218 ,KL ,342 ,BS ,5284 ,Agricultural Communications ,5578 ,Journalism ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10KL5284BS
120218 ,KL ,342 ,BS ,5318 ,Agric Leadership & Sci Educ ,5319 ,Agricultural Science Education ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10KL5319BS
120218 ,KL ,342 ,BS ,5740 ,"Ag Ldrship, Ed & Communication ",5736 ,Agricultural Education ,39,14,25,0,35,1,0,2,0,0,1,0,0,1,0,0,1,39,0,10KL5736BS
120218 ,KL ,342 ,BS ,5740 ,"Ag Ldrship, Ed & Communication ",5737 ,Org & Community Leadership ,28,14,14,0,23,0,3,1,0,0,1,0,0,3,0,0,1,28,0,10KL5737BS
120218 ,KL ,342 ,BS ,5740 ,"Ag Ldrship, Ed & Communication ",5738 ,Ag Communications-Advertising ,34,13,21,0,31,0,0,3,0,0,0,0,0,0,0,0,0,32,2,10KL5738BS
120218 ,KL ,342 ,BS ,5740 ,"Ag Ldrship, Ed & Communication ",5739 ,Ag Communications-Journalism ,13,0,13,0,10,0,0,2,0,0,1,0,0,1,0,0,0,13,0,10KL5739BS
120218 ,KL ,342 ,MS ,0181 ,Agricultural Education ,  ,  ,8,1,7,0,7,0,0,1,0,0,0,0,0,0,0,0,0,8,0,10KS0181MSU
120218 ,KL ,342 ,MS ,5740 ,"Ag Ldrship, Ed & Communication ",  ,  ,11,2,9,0,9,1,0,1,0,0,0,0,0,0,0,0,1,11,0,10KS5740MS
120218 ,KL ,342 ,MS ,5740 ,"Ag Ldrship, Ed & Communication ",  ,  ,17,4,13,0,16,0,0,1,0,0,0,0,0,0,0,0,0,15,2,10KS5740MSU
120218 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5003 ,Agri-Accounting ,72,41,31,0,46,7,0,13,0,0,1,5,0,1,0,1,8,64,8,10KL5003BS
120218 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5005 ,Farm Management ,12,11,1,0,9,0,1,1,0,0,0,1,0,1,0,0,0,11,1,10KL5005BS
120218 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5006 ,Agribusiness Markets & Mgmt ,158,123,35,0,119,8,7,12,0,0,5,7,0,8,1,0,12,143,15,10KL5006BS
120218 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5006 ,Agribusiness Markets & Mgmt ,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,10KL8037BS
120218 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5007 ,Consumer Economics & Finance ,180,148,32,0,115,13,7,28,0,0,5,11,1,13,0,0,16,165,15,10KL5007BS
120218 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5008 ,Envirnmntal Economics & Policy ,49,25,24,0,22,3,6,11,0,0,1,6,0,6,1,0,4,39,10,10KL5008BS
120218 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5010 ,"Policy, Intl Trade, & Dvlpmt ",25,18,7,0,9,7,1,4,0,0,2,2,0,2,0,0,9,17,8,10KL5010BS
120218 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5010 ,"Policy, Intl Trade, & Dvlpmt ",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10KL8037BS
120218 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5011 ,Public Policy and Law ,67,26,41,0,32,7,5,17,0,0,2,2,2,7,1,0,9,63,4,10KL5011BS
120218 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5136 ,Financial Planning ,149,113,36,0,95,9,7,30,1,0,3,4,0,8,1,0,12,140,9,10KL5136BS
120218 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5316 ,Finance in Agri-Business ,55,34,21,0,32,12,2,6,0,0,1,2,0,3,0,1,13,48,7,10KL5316BS
120218 ,KL ,470 ,MAAE ,5870 ,Agricultural & Applied Econ ,  ,  ,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,1PKS5870MAAE
120218 ,KL ,470 ,MAAE ,5870 ,Agricultural & Applied Econ ,5869 ,BS ACE/MAAE AAE ,9,6,3,0,7,0,0,0,0,1,0,1,0,0,0,1,0,8,1,1PKS5869MAAE
120218 ,KL ,470 ,MS ,5273 ,Agricultural & Applied Econ ,  ,  ,12,7,5,0,6,1,1,0,0,0,0,4,0,1,0,0,1,2,10,10KS5273MS
120218 ,KL ,470 ,PHD ,5273 ,Agricultural & Applied Econ ,  ,  ,68,32,36,0,5,3,1,3,0,0,0,55,1,1,0,0,3,3,65,10KS5273PHD
120218 ,KL ,483 ,NDEG ,0067 ,Nondegree ,  ,  ,59,32,27,0,34,1,3,4,0,0,1,15,1,3,0,0,2,44,15,10KL0067NDEG
120218 ,KL ,483 ,NONE ,5621 ,ACES Undeclared ,  ,  ,105,47,57,1,52,9,11,23,0,0,5,3,2,17,2,0,14,95,10,10KL5621NONE
120218 ,KL ,538 ,BS ,0002 ,Animal Sciences ,5268 ,Companion Animal & Equine Sci ,82,8,73,1,42,6,7,22,0,0,2,2,1,9,1,0,7,73,9,10KL0002BS
120218 ,KL ,538 ,BS ,0002 ,Animal Sciences ,5268 ,Companion Animal & Equine Sci ,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,10KL8037BS
120218 ,KL ,538 ,BS ,0002 ,Animal Sciences ,5269 ,"Science, Pre-Vet Med and Med ",440,65,374,1,219,44,25,137,2,0,6,4,3,37,9,3,52,398,42,10KL0002BS
120218 ,KL ,538 ,BS ,0002 ,Animal Sciences ,5588 ,Food Animal Prod & Mgmt ,24,8,16,0,21,1,0,0,0,0,1,1,0,1,0,0,1,23,1,10KL0002BS
120218 ,KL ,538 ,BS ,0002 ,Animal Sciences ,5588 ,Food Animal Prod & Mgmt ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10KL8037BS
120218 ,KL ,538 ,BS ,5864 ,Computer Sci & Animal Sci ,  ,  ,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,10KL5864BS
120218 ,KL ,538 ,MANSC ,0002 ,Animal Sciences ,  ,  ,10,2,8,0,6,2,0,1,0,0,0,1,0,0,0,0,2,8,2,1PKS0002MANS
120218 ,KL ,538 ,MANSC ,0002 ,Animal Sciences ,5889 ,BS/MANSC Animal Sciences ,2,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1PKS5889MANS
120218 ,KL ,538 ,MS ,0002 ,Animal Sciences ,  ,  ,50,11,39,0,36,1,0,5,0,0,0,8,0,1,0,0,1,26,24,10KS0002MS
120218 ,KL ,538 ,NDEG ,0002 ,Animal Sciences ,  ,  ,34,4,30,0,13,2,0,1,0,0,0,4,14,0,0,0,2,0,34,1PKS0002NDEU
120218 ,KL ,538 ,PHD ,0002 ,Animal Sciences ,  ,  ,28,4,24,0,13,2,1,1,0,0,0,11,0,1,1,0,2,11,17,10KS0002PHD
120218 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0038 ,Food Science ,101,38,63,0,32,27,7,9,0,0,2,23,1,7,1,0,31,65,36,10KL0038BS
120218 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0040 ,Human Nutrition ,62,20,42,0,31,10,2,10,0,0,0,9,0,2,0,0,10,53,9,10KL0040BS
120218 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0041 ,Dietetics ,83,16,67,0,43,16,3,12,0,0,1,7,1,3,0,1,17,71,12,10KL0041BS
120218 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0042 ,Hospitality Management ,51,13,38,0,26,6,3,7,0,0,2,7,0,5,0,1,7,41,10,10KL0042BS
